"caja","mesa"
"CVB-539","06"
"CVB-540","03"
"CVB-541","08"
"CVB-542","06"
"CVB-543","01"
"CVB-544","05"
"CVB-545","07"
"CVB-546","07"
"CVB-547","06"
"CVB-548","01"
"CVB-549","02"
"CVB-550","07"
"CVB-551","03"
"CVB-552","03"
"CVB-553","08"
"CVB-554","06"
"CVB-555","03"
"CVB-556","06"
"CVB-557","03"
"CVB-558","01"
"CVB-559","05"
"CVB-560","07"
"CVB-561","06"
"CVB-562","06"
"CVB-563","07"
"CVB-564","05"
"CVB-565","08"
"CVB-566","01"
"CVB-567","07"
"CVB-568","04"
"CVB-569","03"
"CVB-570","01"
"CVB-571","04"
"CVB-572","03"
"CVB-573","05"
"CVB-574","05"
"CVB-575","04"
"CVB-576","07"
"CVB-577","05"
"CVB-578","05"
"CVB-579","03"
"CVB-580","03"
"CVB-581","04"
"CVB-582","04"
"CVB-583","06"
"CVB-584","02"
"CVB-585","06"
"CVB-586","06"
"CVB-587","07"
"CVB-588","05"
"CVB-589","02"
"CVB-590","08"
"CVB-591","04"
"CVB-592","02"
"CVB-593","07"
"CVB-594","05"
"CVB-595","06"
"CVB-596","07"
"CVB-597","03"
"CVB-598","05"
"CVB-599","04"
"CVB-600","01"
"XXX-XXX","-1"
